tool	command	options	description
exakit	preflight		Check this machine's requirements (runtime, RAM, ports); install nothing.
exakit	status	[--json | -j]	Show what is installed, whether each component is healthy, and which datasets are loaded. Exit codes: 0 running, 3 database stopped, 4 not installed. --json prints one machine-readable object.
exakit	version		Show kit source, install date, and component versions.
exakit	update-check	[all|runtime|exakit|exapump|mcp|pyexasol|<add-on>|nano|personal]	Compare installed versions against the versions the maintainers advertise, and print the exact update command for each.
exakit	update	[all|runtime|exakit|exapump|mcp|pyexasol|<add-on>|nano|personal]	Apply the advertised versions of the quick components (kit, exapump, MCP server, pyexasol, installed add-ons); a runtime change is announced but left for you to run explicitly. Database data is preserved.
exakit	update personal	[--plan|--backup|--apply]	Handle Exasol Personal major-version updates with an explicit non-destructive plan, deployment backup, and launcher apply step.
exakit	upgrade-kit2		Add the Kit 2 trust assets (Trusted AI Workflow add-on) on top of this install: semantic model, audit/run log, saved workflow. Nothing is reinstalled and no data is touched; safe to re-run.
exakit	rollback-kit2		Remove exactly what upgrade-kit2 added and return to Kit 1. The database, exapump, MCP server and sample data stay untouched.
exakit	update kit2		Re-stage the Kit 2 assets from the current kit copy (valid once Kit 2 is installed). A newer asset bundle arrives with the kit itself.
exakit	info	[--json | -j]	Print the connection details panel (DSN, users, schema). --json prints the install record (~/.exasol-starter-kit/manifest.json) verbatim on stdout, with nothing else on it, so scripts and support threads can read it.
exakit	guide		Friendly walkthrough: connect AI clients (MCP), SQL clients (DBeaver or DbVisualizer), and Python (pyexasol).
exakit	start		Start everything the kit runs: the local Exasol database (deploying or starting it as needed) and every installed add-on service.
exakit	stop		Stop the add-on services and the local Exasol database.
exakit	repair-runtime	[--yes]	Rebuild a database that cannot be started (the launcher reports it interrupted and every start fails the same way). DESTRUCTIVE: the deployment is replaced and its data is not recoverable; bundled datasets are reloaded afterwards. --yes (or EXAKIT_CONFIRM_RUNTIME_REPAIR=1) pre-answers the confirmation.
exakit	autostart	[on|off]	Whether the database and add-on services come back automatically after a restart (launchd on macOS, systemd --user on Linux, the container restart policy for Nano). No argument shows the current state.
exakit	data-load	[--force | -Force]	Open the focused data-loading menu: bundled sample data or a local CSV/Parquet/JSON file (JSON is shredded into tables by the JSON Tables add-on, offered on the spot). --force reloads instead of skipping what is already there. Non-interactively, EXAKIT_DATASETS=tpch,energy,weather names exactly which bundled datasets to load, and it composes with --force.
exakit	sql	'<statement>' [--write]	Run one SQL statement against the local database and translate a failure into the remedy (connection refused -> exakit start; FETCH FIRST/TOP -> LIMIT; object not found -> describe it first). Reads only unless --write. It connects with the starter-kit profile, which is the ADMIN user and is NOT sandboxed - the read-only boundary is the MCP user, not this command.
exakit	mcp-setup		Permanently configure MCP in supported AI clients.
exakit	mcp-status	[clients]	Show managed MCP state for all supported AI clients.
exakit	mcp-validate	[clients]	Validate managed MCP configs and test connectivity.
exakit	mcp-doctor	[clients] [--json]	Check the configured MCP clients and repair what has drifted, then re-check. Checks the database is running first (exit 3 + 'exakit start' when it is not). --json reports the diagnosis without repairing.
exakit	mcp-remove	[clients]	Remove the managed MCP config from the supported clients.
exakit	mcp-restore	[snapshot]	Restore the latest (or a chosen) MCP config snapshot.
exakit	skills	[--json | -j]	List the AI skills this kit carries — one per component and add-on — with a one-line summary and whether each has reached the agents' discovery folders. --json prints one machine-readable object.
exakit	skills-install		Install the kit's AI skills into ~/.claude/skills and ~/.agents/skills for CLI agents (Claude Code, Codex).
exakit	marketplace		Browse optional add-ons (dash-server, Exasol for VS Code, JSON Tables): Space selects, Enter installs. Installed add-ons update through exakit update; tools you installed yourself are recognised and never re-offered.
exakit	uninstall	[--yes | --dry-run]	Pick what to remove (Skip, each add-on, or EVERYTHING) with a confirmation summary and a typed gate; single components by name (exakit uninstall mcp_configs). --dry-run previews the full plan; --yes is the scripted full uninstall.
exakit	logs	[target | --json] [-f] [--lines N] [--path]	Every log the kit can show: the installer run, the database container, each add-on service, and what the boot entries wrote at login. No target lists them with size and last-updated; -f follows one live; --path prints its path. --json lists the targets (with each one's path, size and last-updated) as one machine-readable object.
exakit	catalog	[search] [--json | -j]	Browse or search every exakit, exapump, and exasol command (this screen). --json prints the whole command surface as one machine-readable object (tool, command, options, description), so an agent can discover what the CLI can do without parsing the decorated screen.
exakit	help	[--all]	Show the exakit usage text (--all: every command). Any subcommand also answers --help with its catalog entry.
exapump	sql	-p <profile> "<SQL>"	Run a single SQL statement through a saved connection profile.
exapump	sql	-p <profile> < file.sql	Run a SQL script file (via stdin) through a profile.
exapump	upload	<file> --table <schema.table>	Bulk-load a CSV or Parquet file into a table.
exapump	profile init	<name>	Create or update a named connection profile (host, port, user, password).
exapump	--version		Print the exapump version.
exapump	--help		Show exapump's built-in help.
exapump	EXAPUMP_CONFIG	(env var)	Override the config path; profiles live in ~/.exapump/config.toml. Kit default profile: starter-kit.
exasol	exasol-mcp-server	uvx exasol-mcp-server@<ver>	Read-only MCP server the AI client runs to query Exasol over stdio.
exasol	exasol-mcp-server-http	--host <h> --port <p>	Run the Exasol MCP server in HTTP mode instead of stdio.
exasol	connection	host:port / user / password	Kit provisions a least-privilege mcp_readonly user with database-wide read and no write (DSN default 127.0.0.1:8563).
